"","Año","Entidad","Sexo","TOTHOM_INEGI"
"372",2019,"Morelos","Mujer",98
"373",2019,"Morelos","No especificado",2
"374",2019,"Nayarit","Hombre",164
"375",2019,"Nayarit","Mujer",19
"376",2019,"Nayarit","No especificado",1
"377",2019,"Nuevo León","Hombre",873
"378",2019,"Nuevo León","Mujer",98
"379",2019,"Oaxaca","Hombre",992
"380",2019,"Oaxaca","Mujer",134
"381",2019,"Puebla","Hombre",1120
"382",2019,"Puebla","Mujer",123
"383",2019,"Querétaro","Hombre",188
"384",2019,"Querétaro","Mujer",25
"385",2019,"Quintana Roo","Hombre",640
"386",2019,"Quintana Roo","Mujer",72
"387",2019,"San Luis Potosí","Hombre",445
"388",2019,"San Luis Potosí","Mujer",47
"389",2019,"San Luis Potosí","No especificado",6
"390",2019,"Sinaloa","Hombre",1026
"391",2019,"Sinaloa","Mujer",57
"392",2019,"Sinaloa","No especificado",4
"393",2019,"Sonora","Hombre",1197
"394",2019,"Sonora","Mujer",111
"395",2019,"Sonora","No especificado",64
"396",2019,"Tabasco","Hombre",597
"397",2019,"Tabasco","Mujer",77
"398",2019,"Tamaulipas","Hombre",701
"399",2019,"Tamaulipas","Mujer",110
"400",2019,"Tamaulipas","No especificado",15
"401",2019,"Tlaxcala","Hombre",160
"402",2019,"Tlaxcala","Mujer",25
"403",2019,"Veracruz","Hombre",1261
"404",2019,"Veracruz","Mujer",161
"405",2019,"Veracruz","No especificado",1
"406",2019,"Yucatán","Hombre",39
"407",2019,"Yucatán","Mujer",4
"408",2019,"Zacatecas","Hombre",592
"409",2019,"Zacatecas","Mujer",75
"410",2019,"Zacatecas","No especificado",2
"411",2019,NA,"Hombre",859
"412",2019,NA,"Mujer",105
"413",2019,NA,"No especificado",6
"414",2020,"Aguascalientes","Hombre",76
"415",2020,"Aguascalientes","Mujer",7
"416",2020,"Baja California","Hombre",2436
"417",2020,"Baja California","Mujer",277
"418",2020,"Baja California","No especificado",96
"419",2020,"Baja California Sur","Hombre",57
"420",2020,"Baja California Sur","Mujer",5
"421",2020,"Campeche","Hombre",59
"422",2020,"Campeche","Mujer",7
"423",2020,"Chiapas","Hombre",458
"424",2020,"Chiapas","Mujer",74
"425",2020,"Chiapas","No especificado",1
"426",2020,"Chihuahua","Hombre",3021
"427",2020,"Chihuahua","Mujer",354
"428",2020,"Chihuahua","No especificado",1
"429",2020,"Ciudad de México","Hombre",1191
"430",2020,"Ciudad de México","Mujer",141
"431",2020,"Coahuila","Hombre",195
