"","Año","Entidad","Sexo","POBTOT","TOTHOM","TOTHOM_INEGI"
"310",2019,"Tabasco","Mujer",1283806,48,77
"311",2019,"Tamaulipas","Hombre",1784628,694,701
"312",2019,"Tamaulipas","Mujer",1821257,93,110
"313",2019,"Tlaxcala","Hombre",660970,151,160
"314",2019,"Tlaxcala","Mujer",695108,22,25
"315",2019,"Veracruz","Hombre",4109729,1550,1261
"316",2019,"Veracruz","Mujer",4352334,117,161
"317",2019,"Yucatán","Hombre",1094579,31,39
"318",2019,"Yucatán","Mujer",1126526,2,4
"319",2019,"Zacatecas","Hombre",810411,544,592
"320",2019,"Zacatecas","Mujer",838130,65,75
"321",2020,"Aguascalientes","Hombre",701925,77,76
"322",2020,"Aguascalientes","Mujer",723180,4,7
"323",2020,"Baja California","Hombre",1802025,2618,2436
"324",2020,"Baja California","Mujer",1804915,261,277
"325",2020,"Baja California Sur","Hombre",404877,58,57
"326",2020,"Baja California Sur","Mujer",391521,4,5
"327",2020,"Campeche","Hombre",490456,80,59
"328",2020,"Campeche","Mujer",501850,2,7
"329",2020,"Chiapas","Hombre",2783931,424,458
"330",2020,"Chiapas","Mujer",2905067,41,74
"331",2020,"Chihuahua","Hombre",1875800,2427,3021
"332",2020,"Chihuahua","Mujer",1907880,258,354
"333",2020,"Ciudad de México","Hombre",4311206,1174,1191
"334",2020,"Ciudad de México","Mujer",4714157,88,141
"335",2020,"Coahuila","Hombre",1594862,216,195
"336",2020,"Coahuila","Mujer",1602326,9,32
"337",2020,"Colima","Hombre",387695,531,481
"338",2020,"Colima","Mujer",391294,90,84
"339",2020,"Durango","Hombre",918058,174,122
"340",2020,"Durango","Mujer",942993,6,16
"341",2020,"Guanajuato","Hombre",3024331,3976,4292
"342",2020,"Guanajuato","Mujer",3177118,413,593
"343",2020,"Guerrero","Hombre",1767564,1291,1294
"344",2020,"Guerrero","Mujer",1883286,140,145
"345",2020,"Hidalgo","Hombre",1482796,265,320
"346",2020,"Hidalgo","Mujer",1585900,33,41
"347",2020,"Jalisco","Hombre",4126169,2091,1849
"348",2020,"Jalisco","Mujer",4242433,207,226
"349",2020,"México","Hombre",8470235,2525,2603
"350",2020,"México","Mujer",8867985,253,423
"351",2020,"Michoacán","Hombre",2338001,2180,2076
"352",2020,"Michoacán","Mujer",2470790,229,240
"353",2020,"Morelos","Hombre",986475,864,895
"354",2020,"Morelos","Mujer",1046898,48,81
"355",2020,"Nayarit","Hombre",639730,144,143
"356",2020,"Nayarit","Mujer",639941,8,21
"357",2020,"Nuevo León","Hombre",2785074,819,812
"358",2020,"Nuevo León","Mujer",2786830,28,90
"359",2020,"Oaxaca","Hombre",1983502,844,736
"360",2020,"Oaxaca","Mujer",2148816,95,106
"361",2020,"Puebla","Hombre",3167472,875,762
"362",2020,"Puebla","Mujer",3406371,81,109
"363",2020,"Querétaro","Hombre",1114210,190,198
"364",2020,"Querétaro","Mujer",1145261,11,25
"365",2020,"Quintana Roo","Hombre",859763,586,548
"366",2020,"Quintana Roo","Mujer",844247,63,66
"367",2020,"San Luis Potosí","Hombre",1394314,698,717
"368",2020,"San Luis Potosí","Mujer",1461857,31,59
"369",2020,"Sinaloa","Hombre",1562285,766,795
"370",2020,"Sinaloa","Mujer",1581695,11,37
"371",2020,"Sonora","Hombre",1519670,1415,1397
"372",2020,"Sonora","Mujer",1536727,56,92
"373",2020,"Tabasco","Hombre",1259917,551,523
"374",2020,"Tabasco","Mujer",1298432,42,55
"375",2020,"Tamaulipas","Hombre",1798707,597,672
"376",2020,"Tamaulipas","Mujer",1837126,61,71
"377",2020,"Tlaxcala","Hombre",668798,105,119
"378",2020,"Tlaxcala","Mujer",703310,15,27
"379",2020,"Veracruz","Hombre",4133943,1340,996
"380",2020,"Veracruz","Mujer",4380781,113,132
"381",2020,"Yucatán","Hombre",1106489,49,60
"382",2020,"Yucatán","Mujer",1140016,5,12
"383",2020,"Zacatecas","Hombre",816039,941,1016
"384",2020,"Zacatecas","Mujer",844504,92,108
"385",2015,NA,"Hombre",NA,NA,7
"386",2015,NA,"Mujer",NA,NA,1
"387",2016,NA,"Hombre",NA,NA,29
"388",2016,NA,"Mujer",NA,NA,6
"389",2017,NA,"Hombre",NA,NA,345
"390",2017,NA,"Mujer",NA,NA,48
"391",2018,NA,"Hombre",NA,NA,1805
"392",2018,NA,"Mujer",NA,NA,163
"393",2019,NA,"Hombre",NA,NA,859
"394",2019,NA,"Mujer",NA,NA,105
"395",2020,NA,"Hombre",NA,NA,585
"396",2020,NA,"Mujer",NA,NA,83
